cntry_code,year,policy_both3_r1Gini_SSP1,policy_both3_r1Gini_SSP2,policy_both3_r1Gini_SSP3,policy_both3_r1Gini_SSP4
BOL,2080,-22.022078,9.8016796,56.579502,37.105659
BOL,2081,-23.939505,8.4261713,56.549744,36.38747
BOL,2082,-25.870522,7.0304642,56.518009,35.652855
BOL,2083,-27.824032,5.6103287,56.483669,34.902981
BOL,2084,-29.800154,4.1656456,56.446716,34.137707
BOL,2085,-31.798912,2.6962831,56.407177,33.356865
BOL,2086,-33.804272,1.2069609,56.365498,32.560013
BOL,2087,-35.823109,-.30640706,56.32193,31.747475
BOL,2088,-37.864098,-1.8448663,56.275795,30.918852
BOL,2089,-39.927288,-3.4084835,56.227085,30.073982
BOL,2090,-42.012821,-4.9975634,56.175808,29.21269
BOL,2091,-44.103882,-6.6052413,56.122635,28.336195
BOL,2092,-46.208118,-8.235877,56.067829,27.443846
BOL,2093,-48.33427,-9.8922148,56.010502,26.534595
BOL,2094,-50.482395,-11.574461,55.950615,25.60824
BOL,2095,-52.652706,-13.282762,55.888206,24.664602
BOL,2096,-54.827118,-15.006795,55.823624,23.70459
BOL,2097,-57.014435,-16.751797,55.756981,22.727461
BOL,2098,-59.22353,-18.523005,55.687798,21.732489
BOL,2099,-61.454586,-20.320705,55.616096,20.719433
BOL,2100,-63.707714,-22.145113,55.541862,19.688087
BRA,2011,59.203163,59.165936,59.147919,59.143425
BRA,2012,58.319427,58.428276,58.492702,58.53299
BRA,2013,58.028004,58.284271,58.43716,58.522758
BRA,2014,58.01025,58.421844,58.672615,58.804489
BRA,2015,58.027618,58.59964,58.957043,59.135639
BRA,2016,57.968422,58.715405,59.177921,59.404598
BRA,2017,57.976254,58.845627,59.416431,59.722149
BRA,2018,57.978046,58.982159,59.676876,60.056042
BRA,2019,57.955524,59.09584,59.916306,60.372704
BRA,2020,57.925129,59.204235,60.154003,60.691422
BRA,2021,57.886703,59.307194,60.389908,61.012375
BRA,2022,57.822765,59.402657,60.630447,61.341331
BRA,2023,57.750206,59.491879,60.868179,61.671425
BRA,2024,57.668686,59.574753,61.102852,62.002441
BRA,2025,57.577934,59.651077,61.334198,62.334156
BRA,2026,57.478088,59.72121,61.562794,62.662971
BRA,2027,57.37096,59.795845,61.807575,62.941456
BRA,2028,57.253666,59.863552,62.048336,63.219433
BRA,2029,57.125992,59.924252,62.28487,63.496773
BRA,2030,56.987617,59.977844,62.51696,63.773304
BRA,2031,56.838955,60.024776,62.745064,64.049393
BRA,2032,56.683788,60.069706,62.981194,64.329185
BRA,2033,56.522736,60.098663,63.199535,64.601768
BRA,2034,56.349342,60.123447,63.417793,64.875916
BRA,2035,56.16354,60.144192,63.635967,65.151611
BRA,2036,55.966358,60.16135,63.854549,65.429237
BRA,2037,55.763943,60.176174,64.081833,65.710098
BRA,2038,55.548908,60.187168,64.30899,65.992401
BRA,2039,55.321121,60.194462,64.536034,66.276184
BRA,2040,55.080551,60.198135,64.762962,66.56144
BRA,2041,54.828316,60.198513,64.990158,66.848381
BRA,2042,54.566833,60.19239,65.222565,67.135246
BRA,2043,54.292366,60.182854,65.454826,67.423523
BRA,2044,54.004848,60.170071,65.686958,67.713234
BRA,2045,53.704243,60.154076,65.918961,68.00441
BRA,2046,53.392162,60.135216,66.151161,68.297592
BRA,2047,53.074104,60.110973,66.387253,68.594048
BRA,2048,52.742805,60.08371,66.623199,68.89193
BRA,2049,52.398186,60.053566,66.859001,69.191292
BRA,2050,52.040218,60.020649,67.09465,69.492142
BRA,2051,51.769161,59.985233,67.330544,69.795029
BRA,2052,51.494843,59.945045,67.57254,70.099876
BRA,2053,51.214993,59.902275,67.814392,70.406258
BRA,2054,50.929741,59.857021,68.056129,70.714226
BRA,2055,50.639141,59.809383,68.297768,71.023842
BRA,2056,50.344357,59.759678,68.539665,71.335587
BRA,2057,50.045406,59.704632,68.787331,71.648582
BRA,2058,49.741272,59.647366,69.034882,71.963234
BRA,2059,49.432125,59.588001,69.282333,72.279617
BRA,2060,49.117962,59.526585,69.529686,72.597786
BRA,2061,48.799538,59.463341,69.777267,72.917953
BRA,2062,48.474663,59.393444,70.029404,73.23735
BRA,2063,48.14489,59.321609,70.281425,73.558533
BRA,2064,47.810329,59.248001,70.533371,73.881599
BRA,2065,47.470963,59.172661,70.785225,74.206581
BRA,2066,47.128094,59.095711,71.037239,74.533707
BRA,2067,46.780651,59.011684,71.292,74.860435
BRA,2068,46.428513,58.926041,71.546669,75.18911
BRA,2069,46.07172,58.838879,71.801247,75.519836
BRA,2070,45.710361,58.750198,72.055748,75.852669
BRA,2071,45.345531,58.660473,72.310379,76.187248
BRA,2072,44.974998,58.566948,72.567482,76.519539
BRA,2073,44.599869,58.472012,72.824493,76.853935
BRA,2074,44.220188,58.375832,73.081429,77.190559
BRA,2075,43.836037,58.278381,73.338272,77.529472
BRA,2076,43.448757,58.180058,73.595207,77.869759
BRA,2077,43.055759,58.077114,73.854202,78.206757
BRA,2078,42.658203,57.973042,74.113098,78.546043
BRA,2079,42.256161,57.86787,74.371918,78.887733
BRA,2080,41.849632,57.761703,74.630646,79.231895
BRA,2081,41.439396,57.654778,74.889397,79.576942
BRA,2082,41.021191,57.543415,75.149483,79.917656
BRA,2083,40.598415,57.431065,75.409485,80.260818
BRA,2084,40.171028,57.317814,75.669388,80.606544
BRA,2085,39.739128,57.203762,75.929192,80.95491
BRA,2086,39.304585,57.089085,76.18895,81.303658
BRA,2087,38.863438,56.970325,76.449081,81.647568
BRA,2088,38.417583,56.850739,76.709106,81.994072
BRA,2089,37.96701,56.730438,76.969025,82.343262
BRA,2090,37.511745,56.609386,77.228836,82.695213
BRA,2091,37.057808,56.488113,77.488533,83.047562
BRA,2092,36.607262,56.364964,77.748116,83.396461
BRA,2093,36.151989,56.241138,78.007584,83.748085
BRA,2094,35.692039,56.116688,78.26693,84.102554
BRA,2095,35.227337,55.99165,78.526138,84.459915
BRA,2096,34.76461,55.866528,78.785217,84.818207
BRA,2097,34.307205,55.740108,79.043991,85.1744
BRA,2098,33.845028,55.613155,79.302628,85.533478
BRA,2099,33.378082,55.485676,79.561127,85.895538
